rankingId,rankingTitle,state,value,displayValue,direction,directionLabel,metricId
most-expensive-electricity,Least Affordable Electricity by State,Rhode Island,255.78,$255.78,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Maine,245.16,$245.16,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Massachusetts,234.09,$234.09,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Alaska,225.09,$225.09,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,New York,214.83,$214.83,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,New Hampshire,210.15,$210.15,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Vermont,203.22,$203.22,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,New Jersey,199.35,$199.35,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Michigan,179.19,$179.19,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Maryland,173.61,$173.61,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Wisconsin,162.36,$162.36,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Pennsylvania,160.02,$160.02,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Delaware,154.62,$154.62,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Illinois,152.64,$152.64,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Ohio,152.1,$152.10,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Alabama,148.95,$148.95,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Indiana,145.08,$145.08,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Minnesota,144.36,$144.36,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Texas,142.47,$142.47,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Colorado,142.11,$142.11,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Arizona,141.3,$141.30,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,West Virginia,138.51,$138.51,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,New Mexico,137.61,$137.61,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Florida,137.43,$137.43,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Virginia,137.34,$137.34,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Georgia,136.98,$136.98,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,Oregon,135,$135.00,desc,Highest to lowest,metricValue
most-expensive-electricity,Least Affordable Electricity by State,South Carolina,132.48,$132.48,desc,Highest to lowest,metricValue
